,a
15615205,36a97fd9877c141270adc81586cb5e9a661a7090	SOUNVWH12A6D4F8B65	1
32582384,087fb0ef80e2231f79cb4d7674049c6e077e2375	SORPEXS12A8C13C6E3	1
19509562,51df5d44b52566ab32b7edd1966e78ce2a712873	SODQPXO12AF72A456F	1
33542647,b251178d06e36635eaa4aa13f63604e0d51c81ff	SODKVBI12A6D4F8E06	3
26274989,015be962ad0d10abab1fc6adcfb339eae2e7adcd	SODSXUP12AF72A89B2	1
44869464,03c0a008016742c4d4d980726226592f55a97283	SOHSUZG12A8C139410	10
5158621,a04dcb0864fe59b3cce78f7c07ed114eea1c8e35	SOQGSUC12A8C13B66D	6
45358998,e68d0cd9dd271f93fadc67885bbb1075a15f98c5	SOHFZIT12A8C13CF46	2
39738653,5012d3ab7156a47229bd5f87a95c9ada61291fe5	SOMCAFM12A58A7B024	1
25422425,36ad648f4c14030d7a736256f13b522cba8bb2c6	SOZZWZV12A67AE140F	2
38929136,80617f738d39bc3f1f88a152f2ee48e9de7868fd	SOUBYBF12A8C136149	1
32160402,508d52f5f01389ac2c7e273e73548d088304ec65	SOKUAGP12A8C133B94	1
45058909,342345f6c3a19e296b9cfa39362a4f79be1f799a	SOHYSAX12A6D4F5572	1
42591488,8f4653886fe334b5b2f71d7c47e0888a17b9fb09	SORMOIW12AB01887F0	6
20142270,498c5ae7d9a4808783d309ea83920e26e0c63bc2	SOUEADL12A8C137836	1
6638071,9404be5d3511861e1df97c850aa110455603e634	SOYXVVS12A6D4F7DA7	4
10269314,b39a3db892aae448107bdce8d801f117bd8c5667	SOGXVIB12A6D4F569D	1
18863681,eb913eefeac48f646b400801af313a80d855f5ed	SOEHUMG12A5891F8B9	7
37886340,0ef3573d60475aeff678135ffb98ac92271418a0	SOQRRXL12A81C23281	5
31742990,b62fad77c2f141db9c800497e839c8eb85bfc8fc	SOPZDMS12A8C138B85	1
36719297,0832198df944677c5209cb559bf99da19bc14189	SOPVCCH12AB0184DDB	1
36420385,bda9a9df2ea23e2c8e09f3b87434c36d11977d90	SOAROSJ12A6D4F8F16	1
2257514,e75c1151fc8da69bce8da358517dead9cc8ecd0a	SOXBPBX12AB0183CD1	3
41273427,b98d6308c16a734187f8b38a25eefd9cee57797e	SOGZMBF12A8C13AA23	2
125549,2facb00377dfa9e3256e750f466dc2730822287c	SOOKGRB12A8C13CD66	2
16577761,bd5c1a333e7286eccff9dd4faa98dce20412f7bf	SOGZAVX12AB018067D	1
21446573,129deb116a4c13443b2f9d659ce724080baa7b8f	SOEKHVG12A8C13D7E7	1
11701019,91c6ea67878860c5669c0cfdb27f37843ddfaf09	SOARDDQ12A8C137CEC	4
29314889,fab6d85de14ee4cc0d8847cf41754e115a207805	SOVWADY12AB0189C63	1
21058479,c3a18240b43526a9207d096641f51ddd294fb852	SOYNOXS12A8AE44E1D	2
44279127,a7b24caf46871a7337a32a045da7d7a43349e3ae	SOYAMHC12AB01853A8	4
42198413,f4e0be3f331cad84e2bd29124250bb6f53055890	SOCMWUM12AF72A56B1	1
24378593,0c966a93f044eae745f0ed9747540f16c5745a01	SOPABZM12A6D4FC668	5
23276526,a2a607e786cea16de69bc729b300af8f054a95e3	SOIAEAW12AB01891DC	1
39241885,094bf32e5d0e43f8aa5a3a9b85d6e198b6348753	SOBEMUE12A6701E076	3
1220169,b96ae7efb2258732fdd6d6a28f7fba9d7d8db12f	SOYTEUF12A8C1438E1	2
6622663,852e0130ec7586d183ebd48fb0c94365d4109669	SOJSTYO12A8C13F200	8
20903555,52dcce84b0d501c6969f892e553b32f9876271c0	SOKBKPZ12A8C142808	1
14120746,7ecec641ad0b2d0398ddb9328ff8aebe0684d8c9	SOLPGCG12AAF3B4374	1
20334276,3aa9093d90831f6af101c26fb512317a40c8c7c0	SOALLQK12AF72A275F	1
32442530,031a72bb883adb0881431f620be55f2151a87817	SOYPRRA12A58A7C4B5	1
27610053,57f3234af9c8452774f682aa5770e957fed1aa74	SOTISQU12AB0182F53	20
20913698,bc6f4bf2ada155577f670b75aa2cb558f8a8aa46	SOXCISI12A6D4FAAAB	1
19143028,4de1978a331082c072985c62c6156a8424d74860	SOBONKR12A58A7A7E0	1
22033792,9a46f8d554f9738d8cf07f80e1bcca13a7d639fd	SOYKNUX12A58A7B1C6	1
31134049,4c256927ee05214f6f99de04507ecc4ab4ddd3a3	SOXSAWU12A8AE464D7	2
42232878,9b6b2476711444db680958432ebd1e133a5693d4	SOSNOSA12A67ADA05B	1
19987447,3eb3d1c6bc6419ec58fdd200571d8b990e4e590c	SOAVJWK12A8C132782	5
2170427,06a41c0e494b7b12e3306462fbc0dca5faaf5b99	SOHWFXZ12AB018A478	1
30774061,7c3ea35e0be8630ce2ec17a455c26cc17e324896	SOKUCXB12A6D4FAC0C	4
47017156,5c05552003c98431071065764209649baac8c4de	SOFTWWO12A8C13B5B4	1
47453252,30a1e22909f804db0f420b53270726fe1b3fed74	SOLVLFW12A67020A3F	1
43142902,e40841cb704c6d62b5d05683e6499dfc7f7fea47	SOVOIMA12A8C13DFB7	2
3749491,b3a46ad424dab0bfc59e0ddfc3c1c49de08f2789	SOPFUPB12A8C139B46	1
48285758,1e75921cbedcce4c6c3f1aa0c347b9dbbc2173be	SOIZRER12A8C137A26	1
38802530,77d2bd60ea345127bd0a5c3b01aeb3f486518051	SOFTXEH12A8C144DD0	1
1253060,c8240d8f998a101d2c489c81b562c9833f980065	SOHIEQZ12A6D4FC61A	1
31862286,0d7c9ecb07f0ca708dc7424bff8163811d82f058	SOZJWOX12A58A76959	1
38168800,b063d6d649cdaee58fcf34fad4fb7290d0a90b1d	SOCZDBC12A67ADCF62	1
41660613,ff08078730ee19d4b09fc086b25a6abff67fb88b	SOJUYDG12A8C1345FF	2
1843113,0c6b13776369aae3d3f3aebe9dcd4c834b713096	SOZGBKW12AB0182067	2
46014440,20fb8fa2bc57a5f8ad0e4ef1238c0e0b1189ec38	SONWJTD12A81C22314	1
22182557,95349553d05327fc6c5672694f315a699020cb88	SOWOHCY12A6D4FCC2B	2
38079269,4be08a60fc523fca1d1ddfbee45dc1bf28d683e9	SOWEVBM12A8C13B5B5	1
1080883,fd1348b6f08dfd35bcd86cc26a624fd63eb00d08	SOUYXGP12AB0186A78	1
7480756,b5033cc300f0479213c7c6e36b8d072f1185e376	SOSQADV12A8C137A15	1
10869000,f666d52fba163382e0d39691b31752c3ece9cfc1	SONOYIB12A81C1F88C	2
8243916,c9c88d5b6bdf815ed6be5f018f66650860ac4838	SOKCBZJ12AB017EC6B	5
32350566,d5a69cbc84fc936fd5c9a90f30351bc7f7b96ff4	SOMSOXH12A67ADD011	1
10932643,0425e564e7a52c79320be3a5721b15e92fa83bdc	SOEJLES12A8C13B563	1
25703437,685b35cad14fc25602bb84f6c6a593e5f5d3ba12	SODKJWI12A8151BD74	1
16586132,20139f3eb6dc839304ac7847a3c971deb5602be0	SOPZIWG12AB0186DC4	1
32065644,2347626802b913bc0fe87cf8fa269758147af15b	SOKUEJO12A6701F6CC	2
15043247,602730d560905984e887578a96f0012194104a32	SOQHXFJ12AB018B369	1
28438663,1ae8f32c16918ebd7acb725eda003ad26c9d0982	SOYWGNV12A6D4FB255	1
24722371,9cb7ed01883f3f506f37fea6dbd3086a43485ee4	SOBASCI12A6D4F8A70	2
45811109,cd588aa52564b27b4a90dd7b6aaccb80d486ab3c	SOAUDVC12A58A7B9B6	1
31158599,f9b0b797866e7e59a7cd396618748cec67ff06b7	SOPXLWJ12A8C132639	1
46546876,d284b90cf5be880d86c7d45550e4a887795b4df4	SOANQFY12AB0183239	6
47832225,af8041fd22e4df5946d36fdc6c90050079cad179	SORADRK12A58A7934D	1
47764675,479d642adc7d1017eea201badee1dfafcbc9c824	SOXXBFL12A58A7D377	1
46511991,0a233413545b913772225d4268debc6d64026763	SOVPGAG12AB0184EC1	3
9497178,d3705f12a20ba0b4b3eeeb94deabc2e78c64fb55	SOLMXQN12A6D4F8326	1
32722266,ab65bf1d7b11111d660e4ad3b86b49d46bf7fc98	SOIGXKF12A6701E096	2
18727255,891f53b3ae13236939567547e5c8811e31b9aced	SOHFPSO12A8C13F7C9	1
3392335,1771d671720aacc94af8a6327e7076b91e5aeb10	SOCVTLJ12A6310F0FD	2
24220760,bf428791006e24d44b3c28698e2112cd2a5c39ed	SOJSWGE12AF72A6DA7	3
43768745,8708cb0ffc9a1ec15c9b671b22d6a923f62e8444	SOMXKNW12A8C141932	1
7719859,2ea64c5e5dda42664550f7f3f68bdad7cfc3b92e	SOTRFFL12A8C133817	5
20998363,bb2ee93310a77e73140ca4ba67b5a3cfb77b5151	SOGPMUO12A6D4F6D31	2
34651553,72a838189515e1bbde93b4a7d92062b4f951673a	SOVBMWZ12A6D4F9410	1
33615107,fecc6dad5c9b67ac8d2ccf2b400da676ca0faad5	SOLEUJY12AB01819AC	1
3415501,ad7cec41d1bdf547219aa6d08d3e912087a34b42	SOXCCPU12A58A7BF1E	1
10278439,11e5027b7813192f92ad1e8116503715f21f5316	SOFJCCE12AB0183F96	1
6483283,93721540a74d2bed173da17dc7275597eaf1bcef	SOHKBXW12AB0185660	3
10422688,ed0346b2ec752b81656587824afd818d3cf15310	SOXFPND12AB017C9D1	1
24478992,2c4fd2ebb0d6ef707da562d75f752c2fabe9c1e5	SOWSSRH12A58A7CE5D	3
19357259,f56ccfa6c09356b0ca1bd0d95e22b5dcc24fb731	SOBGSVC12A6D4F91C4	1
8392317,d33e8c96b2c9501f21272158fac880f317289244	SOCHAXM12AB01876F8	2
41715213,fd461c1c10475261bd2b295515f264f7bf211e2a	SOWAJJO12A58A79721	9
40245538,c7d6a7daef5d405b7c4ea343fa0f2acf35db1acb	SOWRIWJ12AB01871C2	4
2808372,10c7ba1ca253892c6ce176642f00404419fdc166	SODEOCO12A6701E922	3
30329840,ee7418210114a5d8e5ae674e7cbe58ab9b929beb	SOMCAFM12A58A7B024	9
25808205,ddc7e38a5623dff4549e0b86f099b071cae2fbc3	SOXIDNW12A6D4F5CC6	1
30560179,d148809329c2190fdd5e568c0984fea9e79f3188	SOHCZGJ12A6D4F7E01	1
36832977,f3840728f801686f7bc8241aa6cc655e4ba49a60	SORPYUG12A8AE45E20	1
45205794,baee905238f0c9ff8c85ac1f197d7bb65267bc39	SOPAYPV12AB017DB0C	1
32543169,962419fcdd31977afd904c401d05ce4addad9ed1	SOBLJLL12A8C141E31	1
14769878,527f11420e656eb1669e2d53b6fd8cf0be6369b8	SODYRVT12AB018C53A	4
20563417,52ac9c22ff72e8f4958e6c379631e19d3a691580	SOTKNTF12A8C144A0D	4
33787524,94282a1c0d70af5091fbe5ac80700bbde1e6a4f7	SOQLFVE12AB017E74E	5
34027086,b895b5d8663aaf7da45de2e30c949146822e50a8	SOJWDSI12A6D4F762D	5
4429142,8ec5e956a3e769afe491f998c240f7c7e4032409	SOMHKCU12A58A7E1E0	1
4797533,adb76a87c1dfed422157255497a6acb85b0c1ed9	SOXJKGU12A67ADA1C9	1
19545420,35b0fe3d3582ffdfefe3a48d67dca920b39f185d	SOBRYBV12A58A7D451	1
36454050,3b417ffd6d34171ad168211fcfb2a4bf2d166267	SOIIEAZ12AB01853F8	29
28571393,7d6e9c6968a801688051affcf3ced8f685b4e92e	SOFLJQZ12A6D4FADA6	1
6994713,3f1037fb3a74f351cd61fff169a54896d2be06f9	SOSIRND12A81C224AF	1
12891244,bb092f30728778d6921e3ecf8dda362b92a93317	SOURDOP12A58A7EF02	1
6359924,745600b3d16e40d156b0a29ef90daf7c04ceff48	SOUJRHB12A8C13BB04	2
26103350,cb2f62952c63e8a086fbe616ca43c29fd661f940	SOZSPUM12AF72AA322	1
8559175,7021e6163e105080ce22cc3bb7110628905451b2	SOCXMRE12AB018AE72	2
11419329,819190981fa0bcc69246376129391f95ad2b45b2	SOGISMI12A8C133490	3
47748742,c0528cbdbb31464e3d303a67b003998c652235c3	SOXHMJM12A58A7A33A	1
42286263,07ab76c7b05b70a9520e8db7f3d2d2c308a131d4	SOPUCYA12A8C13A694	1
27090609,5840549085a16f480547e229232108859df19287	SOMZICI12AAF3B4088	4
12288177,456fecaf9f0ebd7dea6f4f6d2880c0b11a933659	SOCMSOE12A58A79852	1
1377442,a534f9b49e2c53de5e586c3bb45af1020a555fa3	SOGOAGM12AB017E99E	1
1080140,2ae57abfb437c4e37bfc95bd2ab3f7004c709921	SOHVWPV12A8C135C5B	1
44906128,e4001c433333c47423df00d96a613ae5a5eec59e	SOZSOMC12A6D4FA35A	1
17997079,970fcacd94b712325ebb4ddb66fba58af4de90de	SODYDPM12AB017F669	9
11538514,742d2543484ba0ff6d71921f6c14145f3260ad87	SOSXLTC12AF72A7F54	5
34404035,f6a13b08167c61fb9032d95ae50fca782c9e2f57	SODPPDY12AB017F767	1
16421035,e4a9790957434510112eef745348e98616934bd5	SORVBEQ12A8C133D6B	5
37892607,95ffbc648604353e9f23e294710b56b18e7209a1	SOFCUIP12A6D4F8072	2
33442897,a98959f7d3677485855b27c7c2a8e0b9998f4a37	SODJWHY12A8C142CCE	9
8315626,d6f1dbdb05cf7b1d4f3941d7cbe23534408b90eb	SOIYTOA12A6D4F9A23	3
46865690,96b825200030d32f469a77a933223e5e2abf1e4f	SOHTQAS12A6701C7BA	1
18200404,068169c212d7df9a8d53e0d23512f71a2ab4f20f	SODKWYD12A8C13BA04	1
30161745,2334fef5f0b32533ed753ace8b4ecb1f7ac90828	SONVHDR12A8C139B44	6
27397318,57b224af6193345eb61e8011150d5a36284c8226	SONXATL12AB017BBE8	1
33773285,44053963dc20e2c0ca607ee2ac0023adaf7086e4	SOQRHIX12A6701F955	1
26587359,1bd5b8535e9fa73e3501d57590034c27a2400d8b	SOMWCVL12AF729E81A	1
5192292,94404fe535501a0bab15084bc18b94c91177f4e4	SOAAHSS12A8AE45100	2
21701751,f0561bbae23c9a36f8642e16ec7e3b3dab4c4cd3	SOEDPTO12AB01869C3	1
43731494,6f73ca6534b8449c3f28c961143cf9e3193785c2	SOPZIGL12AB01858CA	1
43863665,b463ede9c56029237645af5c2a1dcea7043ebac7	SOSDRTG12A8AE46382	1
7760815,58b7deecce792f747621d3890c07a0b1a2fb7ddf	SOWCKKF12A8AE45103	1
17663342,9310858d3e06294c8fc4067994045ed986c8d2ed	SOXWTGU12AB01847A6	3
21761971,96e66033cb9335d23752c49733300b771bdc5530	SOISIRE12AF729EE7C	1
19714673,3f98b0d35fd13a76d26fb0cef65f0b24620e6704	SOYYJMW12A6D4F8636	2
23221742,f4214193aad62cb552f494c9da2385179cbef4d5	SOVJTTZ12AB017F48F	2
19007540,2538cc4859bbe946991a14810867aefa19c2c542	SOIMTSN12A58A7767B	1
46654648,7eb19456dede963ca85f0cd32f6717817c479ac1	SOWGIBZ12A8C136A2E	1
24212202,5edfca0ed702adf59be11383a40c3aec2c251a4a	SOHBCTN12A8C13C49E	3
23606854,fc8bb6fc1175012800b6d6701fc07cddb52131dc	SOPKPSQ12A58A7A5E4	3
13748804,0f9146879c9c02250736530cbaf2f045daec60e7	SOGRGJO12A6D4F700E	1
26323462,fa10ecce6fee6cc7eb9288931c21860af3047423	SOMIHZH12AB01821D8	1
37772728,3a794c20a00df0026848d2edcfa771645d3f1ecb	SOTWOCE12AB0188397	39
41694850,a3c1884e55aa2eff054b1a382db196a94cf3413a	SOLPJFV12AB018745F	1
16615972,f78780b45df0348b838cbe26eb720bcc5bf4064e	SOUVTSM12AC468F6A7	4
26553659,2f78338eca99d2a629d2821f49d7ac69a90a0286	SOBNTFK12A6701F1CF	1
15321860,77207924eeffb1b9c29ffdaf75abcafebda942ce	SOWHAVF12A8C133AFD	2
17165752,666384e09417e6cbb02325cef935c03c90e389cd	SOPVDJB12AC468B28B	1
25153675,31a2d4b00a0b0da1f77ea8b93897175901f966dc	SOPEEAN12A8C145D5D	1
15358163,47f36fed14449f58f856e88ff0726f2359717a90	SOFBXXB12A8C138E9F	1
8164455,1ee6812bdbafd1a744b31921009bfc2f8278a360	SOEBYGY12A6D4FA1E1	1
19879492,3cc83258ab4d218d91bb5c8fedd4ef95a96c8ad2	SOESCES12AB018016A	4
13365933,3afc3c40c666bb31d06b656b70636fd238f388a7	SOAPUYP12A6D4F823A	28
22274447,a1ae71ae98b0ce8e4e39ffecd8d710e3602a495b	SODHBNJ12AF72A22E7	1
44680060,9039dfa5b9b142266ad608a61edb472e1f2d556a	SOWEUOO12A6D4F6D0C	1
29530087,0af54e85a7a172bace82b14a718e94cbdd95dfc7	SOLZLCF12A6D4FC3B3	1
11260756,61ab5ecb0672dd26f5a11388ba880021b4d8fd99	SOWCBKV12AC90732A6	2
31547285,6597547f6b5303008298edbedaa300fdc934acd8	SOMQTAK12AB0183C3E	2
23539853,98c96049314adb2080bf13f64d23aede19b24c6c	SOZBZWE12AB0183D5B	1
29121966,2f09d8ea2d27046c3bcce6abcd4a3f62af89bde1	SOJFBXS12A6D4F997A	1
42096991,e339f47ddbe85da6af2a3eef5f7f66014cbad1a3	SOREPNQ12A58A7B49E	5
3764296,b4dc5f7be496ac09d6abacbe81f5fdf9c537a207	SOPYWOH12A81C1FBFD	1
38020938,5b9e37c7a202d7390423e7ce611fbf2e59fa01a8	SODSIBN12AB01811DE	3
8944684,6dcc6aa9db2540c78997ffcb24fc75aafb37c05f	SOXDENU12AB018A093	2
18861576,b5ee1ff5422dfacff1ae0ebd5720ccf9f05b9d29	SOBUBLL12A58A795A8	1
30766897,c1a9bcf7548984bae29f0059d638e0607b897b60	SOEDOUC12A8C1382DF	1
28685368,c2b0f31cbd55ab86d599c8dd683b3674debdee33	SOLQYOG12B0B80BA71	1
13010523,c2f2604812fcdbb6aac825d117185e70dd671a25	SOSXLTC12AF72A7F54	2
2798271,8393a45ef7f2ad9ac13eb57aaaff1a871e6d962a	SOBDUUC12AB0187BCA	1
17825482,d6166cf720ad2ecdf8c4ec380826376aa9c03c13	SOTGRSP12A58A768D1	2
23555453,8b396b31c1047a7e4ec0df1aec2bd61d234155d0	SOMQAEL12AAA15EACC	1
5950382,a4dc2d97f6f57bd3033f3fa6ea6a3faaa831379f	SOUAGPQ12A8AE47B3A	2
41832485,1928646157977c5f4608cb80441ccc0a7985617b	SOHNDIB12A58A79AB1	1
19830841,0c13fdd4da33699affe62d8ba9a84fd1ab70d20e	SOBMVPB12A6D4FB90D	1
12659046,1001cdb75ef8a6393504922e1bda57ab1d88ee40	SOEDLKD12A8C1381F9	2
26095681,15aac0a59b7cfb376039935baa0e09f2c4576a69	SOEQJBS12A8AE475A4	1
1887987,a8107f5a0595647414d4557f3ea57d204589eb6a	SOUCTOA12A58A7DB00	4
32414080,c38924468fb214f92ec16b8efcc8a98b6345dc81	SORRNEI12A6D4F7E45	1
30539524,5f3480de98afe403cd417359a958e4d95e60191f	SOUQBYD12A58A79282	17
38634770,f2f5d9c34c5090d4d2f46d1fbc100e8dcf479da2	SOFSGBJ12A8AE4645B	2
26836347,6c402d9c8fce9730df630a20c57726c0a293243c	SOTHGXK12AB0180E18	1
25459690,69bd61fdfe595c1ff7760716a4a4f76f6986c665	SOWAABG12A67ADAC36	1
26750277,52201afaded5fc4e3db1f4d029701d0887e97b7d	SOLJWHN12AB017ACCE	1
18000959,12db909e4bcf65595662347a85ae94c3d6b493e0	SOLMZDJ12A8AE48077	1
27120635,47abb8959979c8e4a7aee686a20d4d11abc066ec	SOUVTSM12AC468F6A7	8
1469191,3bf10faac5e29b1c6c8f68dfc45f62cd56d38407	SOSIDEB12AB017C712	1
25583417,9555eaae69cfaacc4e211550925b8b3b90bfeb37	SOAAPSJ12A8C13E391	1
2797781,38cf6ddb082608c29970dbfc60a809dafe159956	SOWRTJD12A8C132704	1
28531295,9ceb2acb451ec5979c5c7323d1e6fae01fbde3c5	SODHXDO12A8C13A37A	1
9606454,cd0928794b22f218e53ae281d1d182a596145ada	SOAEZRS12A58A7B8FB	1
18919326,8e9c87a6828964b41e14924b101511174a70f65c	SOWZSNE12AF72A47F9	1
5873373,6fb330a1ea3c72aeaed46f8e4f3e84aaf934dbb2	SOBSIDS12A67ADA695	3
